pin,name,bank,type,note,ds_type,reset,pull,drive_mA,supply,ds_group
1,PG6,PG,bidirectional,,I/O,Z,PU/PD,4,VCC-PG,GPIOG
2,PG7,PG,bidirectional,,I/O,Z,PU/PD,4,VCC-PG,GPIOG
3,PG8,PG,bidirectional,,I/O,Z,PU/PD,4,VCC-PG,GPIOG
4,PG9,PG,bidirectional,,I/O,Z,PU/PD,4,VCC-PG,GPIOG
5,PG10,PG,bidirectional,,I/O,Z,PU/PD,4,VCC-PG,GPIOG
6,PG11,PG,bidirectional,,I/O,Z,PU/PD,4,VCC-PG,GPIOG
7,PF0,PF,bidirectional,SDC0-D1,I/O,Z,PU/PD,4,VCC-IO,GPIOF
8,PF1,PF,bidirectional,SDC0-D0,I/O,Z,PU/PD,4,VCC-IO,GPIOF
9,PF2,PF,bidirectional,SDC0-CLK,I/O,Z,PU/PD,4,VCC-IO,GPIOF
10,PF3,PF,bidirectional,SDC0-CMD,I/O,Z,PU/PD,4,VCC-IO,GPIOF
11,PF4,PF,bidirectional,SDC0-D3,I/O,Z,PU/PD,4,VCC-IO,GPIOF
12,PF5,PF,bidirectional,SDC0-D2,I/O,Z,PU/PD,4,VCC-IO,GPIOF
13,PF6,PF,bidirectional,,I/O,Z,PU/PD,4,VCC-IO,GPIOF
14,PC7,PC,bidirectional,SPI0-HOLD,I/O,Z,PU/PD,4,VCC-IO,GPIOC
15,PC6,PC,bidirectional,SPI0-WP,I/O,Z,PU/PD,4,VCC-IO,GPIOC
16,PC5,PC,bidirectional,SPI0-MISO,I/O,PU,PU/PD,4,VCC-IO,GPIOC
17,PC4,PC,bidirectional,SPI0-MOSI,I/O,PU,PU/PD,4,VCC-IO,GPIOC
18,PC3,PC,bidirectional,SPI0-CS0,I/O,PU,PU/PD,4,VCC-IO,GPIOC
19,PC2,PC,bidirectional,SPI0-CLK,I/O,Z,PU/PD,4,VCC-IO,GPIOC
20,VCC-PLL,PWR,power_in,1.8V,P,NA,NA,NA,NA,RTC & PLL
21,REFCLK-OUT,SYS,output,,AO,NA,NA,NA,VCC-PLL,DCXO
22,DXOUT,SYS,output,24MHz 晶振,AO,NA,NA,NA,VCC-PLL,DCXO
